"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p100";2002;"0";992;"j"
"IT";"tptincj992";"p0p100";2003;"0";992;"j"
"IT";"tptincj992";"p0p100";2004;"0";992;"j"
"IT";"tptincj992";"p0p100";2005;"0";992;"j"
"IT";"tptincj992";"p0p100";2006;"0";992;"j"
"IT";"tptincj992";"p0p100";2007;"0";992;"j"
"IT";"tptincj992";"p0p100";2008;"0";992;"j"
"IT";"tptincj992";"p0p100";2009;"0";992;"j"
"IT";"tptincj992";"p0p100";2010;"0";992;"j"
"IT";"tptincj992";"p0p100";2011;"0";992;"j"
"IT";"tptincj992";"p0p100";2012;"0";992;"j"
"IT";"tptincj992";"p0p100";2013;"0";992;"j"
"IT";"tptincj992";"p0p100";2014;"0";992;"j"
"IT";"tptincj992";"p0p100";2015;"0";992;"j"
"IT";"tptincj992";"p0p100";2016;"0";992;"j"
"IT";"tptincj992";"p0p100";2017;"0";992;"j"
"IT";"tptincj992";"p0p100";2018;"0";992;"j"
"IT";"tptincj992";"p0p100";2019;"0";992;"j"
"IT";"tptincj992";"p0p100";2020;"0";992;"j"
"IT";"tptincj992";"p0p100";2021;"0";992;"j"
"IT";"tptincj992";"p0p100";2022;"0";992;"j"
"IT";"tptincj992";"p0p100";2023;"0";992;"j"
"IT";"tptincj992";"p0p11";1820;"70.10000000000001";992;"j"
"IT";"tptincj992";"p0p11";1850;"65.3";992;"j"
"IT";"tptincj992";"p0p11";1880;"81.10000000000001";992;"j"
"IT";"tptincj992";"p0p11";1900;"81.7";992;"j"
"IT";"tptincj992";"p0p11";1910;"85.4";992;"j"
"IT";"tptincj992";"p0p11";1920;"66.4";992;"j"
"IT";"tptincj992";"p0p11";1930;"60.1";992;"j"
"IT";"tptincj992";"p0p11";1940;"73.10000000000001";992;"j"
"IT";"tptincj992";"p0p11";1950;"105.6";992;"j"
"IT";"tptincj992";"p0p11";1960;"191.6";992;"j"
"IT";"tptincj992";"p0p11";1970;"311.7";992;"j"
"IT";"tptincj992";"p0p11";1980;"32.5";992;"j"
"IT";"tptincj992";"p0p11";1981;"34.5";992;"j"
"IT";"tptincj992";"p0p11";1982;"33.8";992;"j"
"IT";"tptincj992";"p0p11";1983;"36.3";992;"j"
"IT";"tptincj992";"p0p11";1984;"37.9";992;"j"
"IT";"tptincj992";"p0p11";1985;"40.40000000000001";992;"j"
"IT";"tptincj992";"p0p11";1986;"43.8";992;"j"
"IT";"tptincj992";"p0p11";1987;"18.9";992;"j"
"IT";"tptincj992";"p0p11";1988;"21.2";992;"j"
"IT";"tptincj992";"p0p11";1989;"23.6";992;"j"
"IT";"tptincj992";"p0p11";1990;"13.2";992;"j"
"IT";"tptincj992";"p0p11";1991;"20.8";992;"j"
"IT";"tptincj992";"p0p11";1992;"10.4";992;"j"
"IT";"tptincj992";"p0p11";1993;"14";992;"j"
"IT";"tptincj992";"p0p11";1994;"5.100000000000001";992;"j"
"IT";"tptincj992";"p0p11";1995;"4.600000000000001";992;"j"
"IT";"tptincj992";"p0p11";1996;"2.8";992;"j"
"IT";"tptincj992";"p0p11";1997;"4.800000000000001";992;"j"
"IT";"tptincj992";"p0p11";1998;"2.2";992;"j"
"IT";"tptincj992";"p0p11";1999;"3.6";992;"j"
"IT";"tptincj992";"p0p11";2000;"3.4";992;"j"
"IT";"tptincj992";"p0p11";2001;"2.7";992;"j"
"IT";"tptincj992";"p0p11";2002;"3.3";992;"j"
"IT";"tptincj992";"p0p11";2003;"2.1";992;"j"
"IT";"tptincj992";"p0p11";2004;"0";992;"j"
"IT";"tptincj992";"p0p11";2005;"4";992;"j"
"IT";"tptincj992";"p0p11";2006;"4.2";992;"j"
"IT";"tptincj992";"p0p11";2007;"9.600000000000001";992;"j"
"IT";"tptincj992";"p0p11";2008;"6.100000000000001";992;"j"
"IT";"tptincj992";"p0p11";2009;"5";992;"j"
"IT";"tptincj992";"p0p11";2010;"3.9";992;"j"
"IT";"tptincj992";"p0p11";2011;"3.6";992;"j"
"IT";"tptincj992";"p0p11";2012;"3.3";992;"j"
"IT";"tptincj992";"p0p11";2013;"2.8";992;"j"
"IT";"tptincj992";"p0p11";2014;"1.9";992;"j"
"IT";"tptincj992";"p0p11";2015;"2";992;"j"
"IT";"tptincj992";"p0p11";2016;"6.800000000000001";992;"j"
"IT";"tptincj992";"p0p11";2017;"9.4";992;"j"
"IT";"tptincj992";"p0p11";2018;"5.300000000000001";992;"j"
"IT";"tptincj992";"p0p11";2019;"5.5";992;"j"
"IT";"tptincj992";"p0p11";2020;"5.800000000000001";992;"j"
